xSOM,ySOM,R,G,B,label
12.000,17.000,0.000,129.492,199.219,5.000
8.000,3.000,0.000,129.492,199.219,5.000
14.000,16.000,0.000,129.492,199.219,5.000
11.000,13.000,0.000,129.492,199.219,5.000
13.000,16.000,0.000,129.492,199.219,5.000
11.000,14.000,0.000,129.492,199.219,5.000
13.000,19.000,0.000,129.492,199.219,5.000
8.000,19.000,0.000,129.492,199.219,5.000
17.000,0.000,0.000,129.492,199.219,5.000
0.000,4.000,0.000,129.492,199.219,5.000
14.000,10.000,0.000,129.492,199.219,5.000
10.000,19.000,0.000,129.492,199.219,5.000
7.000,7.000,0.000,129.492,199.219,5.000
8.000,5.000,0.000,129.492,199.219,5.000
8.000,8.000,0.000,129.492,199.219,5.000
11.000,17.000,0.000,129.492,199.219,5.000
11.000,13.000,0.000,129.492,199.219,5.000
12.000,9.000,0.000,129.492,199.219,5.000
14.000,17.000,0.000,129.492,199.219,5.000
10.000,8.000,254.003,224.122,24.903,6.000
9.000,10.000,254.003,224.122,24.903,6.000
10.000,7.000,254.003,224.122,24.903,6.000
10.000,9.000,254.003,224.122,24.903,6.000
19.000,12.000,254.003,224.122,24.903,6.000
14.000,4.000,254.003,224.122,24.903,6.000
12.000,7.000,254.003,224.122,24.903,6.000
11.000,9.000,254.003,224.122,24.903,6.000
11.000,11.000,254.003,224.122,24.903,6.000
17.000,10.000,254.003,224.122,24.903,6.000
12.000,7.000,254.003,224.122,24.903,6.000
4.000,16.000,254.003,224.122,24.903,6.000
4.000,16.000,254.003,224.122,24.903,6.000
6.000,16.000,254.003,224.122,24.903,6.000
3.000,15.000,254.003,224.122,24.903,6.000
15.000,3.000,254.003,224.122,24.903,6.000
18.000,10.000,254.003,224.122,24.903,6.000
10.000,9.000,254.003,224.122,24.903,6.000
10.000,8.000,254.003,224.122,24.903,6.000
2.000,15.000,254.003,224.122,24.903,6.000
9.000,9.000,254.003,224.122,24.903,6.000
9.000,7.000,254.003,224.122,24.903,6.000
10.000,9.000,254.003,224.122,24.903,6.000
4.000,17.000,254.003,224.122,24.903,6.000
9.000,10.000,254.003,224.122,24.903,6.000
16.000,10.000,254.003,224.122,24.903,6.000
17.000,10.000,254.003,224.122,24.903,6.000
10.000,9.000,254.003,224.122,24.903,6.000
8.000,10.000,254.003,224.122,24.903,6.000
8.000,10.000,254.003,224.122,24.903,6.000
11.000,9.000,254.003,224.122,24.903,6.000
16.000,10.000,254.003,224.122,24.903,6.000
19.000,10.000,254.003,224.122,24.903,6.000
10.000,9.000,254.003,224.122,24.903,6.000
13.000,11.000,254.003,224.122,24.903,6.000
19.000,12.000,254.003,224.122,24.903,6.000
16.000,10.000,254.003,224.122,24.903,6.000
11.000,8.000,254.003,224.122,24.903,6.000
11.000,8.000,254.003,224.122,24.903,6.000
19.000,12.000,254.003,224.122,24.903,6.000
10.000,9.000,254.003,224.122,24.903,6.000
9.000,17.000,254.003,224.122,24.903,6.000
5.000,15.000,254.003,224.122,24.903,6.000
13.000,12.000,254.003,224.122,24.903,6.000
8.000,6.000,254.003,224.122,24.903,6.000
10.000,10.000,254.003,224.122,24.903,6.000
19.000,10.000,254.003,224.122,24.903,6.000
8.000,7.000,254.003,224.122,24.903,6.000
2.000,15.000,254.003,224.122,24.903,6.000
5.000,15.000,254.003,224.122,24.903,6.000
4.000,16.000,254.003,224.122,24.903,6.000
3.000,16.000,254.003,224.122,24.903,6.000
16.000,2.000,254.003,224.122,24.903,6.000
19.000,12.000,254.003,224.122,24.903,6.000
10.000,8.000,254.003,224.122,24.903,6.000
5.000,17.000,254.003,224.122,24.903,6.000
9.000,16.000,254.003,224.122,24.903,6.000
14.000,5.000,254.003,224.122,24.903,6.000
19.000,12.000,254.003,224.122,24.903,6.000
4.000,15.000,254.003,224.122,24.903,6.000
2.000,15.000,254.003,224.122,24.903,6.000
12.000,9.000,254.003,224.122,24.903,6.000
4.000,14.000,254.003,224.122,24.903,6.000
13.000,9.000,254.003,224.122,24.903,6.000
8.000,10.000,254.003,224.122,24.903,6.000
10.000,9.000,254.003,224.122,24.903,6.000
11.000,11.000,254.003,224.122,24.903,6.000
4.000,16.000,254.003,224.122,24.903,6.000
4.000,17.000,254.003,224.122,24.903,6.000
2.000,17.000,254.003,224.122,24.903,6.000
19.000,13.000,254.003,224.122,24.903,6.000
4.000,17.000,254.003,224.122,24.903,6.000
17.000,10.000,254.003,224.122,24.903,6.000
9.000,9.000,254.003,224.122,24.903,6.000
2.000,17.000,254.003,224.122,24.903,6.000
7.000,9.000,254.003,224.122,24.903,6.000
3.000,17.000,254.003,224.122,24.903,6.000
19.000,12.000,254.003,224.122,24.903,6.000
4.000,17.000,254.003,224.122,24.903,6.000
19.000,11.000,254.003,224.122,24.903,6.000
2.000,15.000,254.003,224.122,24.903,6.000
10.000,8.000,254.003,224.122,24.903,6.000
19.000,11.000,254.003,224.122,24.903,6.000
9.000,11.000,254.003,224.122,24.903,6.000
15.000,3.000,254.003,224.122,24.903,6.000
12.000,7.000,254.003,224.122,24.903,6.000
10.000,10.000,254.003,224.122,24.903,6.000
2.000,15.000,254.003,224.122,24.903,6.000
19.000,12.000,254.003,224.122,24.903,6.000
12.000,8.000,254.003,224.122,24.903,6.000
19.000,12.000,254.003,224.122,24.903,6.000
18.000,11.000,254.003,224.122,24.903,6.000
8.000,9.000,254.003,224.122,24.903,6.000
12.000,9.000,254.003,224.122,24.903,6.000
19.000,11.000,254.003,224.122,24.903,6.000
9.000,10.000,254.003,224.122,24.903,6.000
19.000,10.000,254.003,224.122,24.903,6.000
11.000,10.000,254.003,224.122,24.903,6.000
10.000,8.000,254.003,224.122,24.903,6.000
19.000,10.000,254.003,224.122,24.903,6.000
19.000,19.000,249.023,189.258,189.258,7.000
4.000,10.000,249.023,189.258,189.258,7.000
16.000,14.000,249.023,189.258,189.258,7.000
5.000,4.000,249.023,189.258,189.258,7.000
19.000,15.000,249.023,189.258,189.258,7.000
19.000,19.000,249.023,189.258,189.258,7.000
15.000,15.000,249.023,189.258,189.258,7.000
15.000,14.000,249.023,189.258,189.258,7.000
4.000,4.000,249.023,189.258,189.258,7.000
0.000,8.000,249.023,189.258,189.258,7.000
19.000,19.000,249.023,189.258,189.258,7.000
15.000,14.000,249.023,189.258,189.258,7.000
19.000,19.000,249.023,189.258,189.258,7.000
19.000,14.000,249.023,189.258,189.258,7.000
4.000,4.000,249.023,189.258,189.258,7.000
5.000,4.000,249.023,189.258,189.258,7.000
5.000,4.000,249.023,189.258,189.258,7.000
4.000,3.000,249.023,189.258,189.258,7.000
16.000,15.000,249.023,189.258,189.258,7.000
19.000,19.000,249.023,189.258,189.258,7.000
16.000,15.000,249.023,189.258,189.258,7.000
15.000,14.000,249.023,189.258,189.258,7.000
15.000,15.000,249.023,189.258,189.258,7.000
4.000,4.000,249.023,189.258,189.258,7.000
16.000,15.000,249.023,189.258,189.258,7.000
4.000,4.000,249.023,189.258,189.258,7.000
16.000,15.000,249.023,189.258,189.258,7.000
5.000,5.000,249.023,189.258,189.258,7.000
6.000,5.000,249.023,189.258,189.258,7.000
5.000,5.000,249.023,189.258,189.258,7.000
5.000,5.000,249.023,189.258,189.258,7.000
16.000,15.000,249.023,189.258,189.258,7.000
4.000,4.000,249.023,189.258,189.258,7.000
19.000,15.000,249.023,189.258,189.258,7.000
19.000,19.000,249.023,189.258,189.258,7.000
3.000,4.000,249.023,189.258,189.258,7.000
15.000,16.000,249.023,189.258,189.258,7.000
15.000,15.000,249.023,189.258,189.258,7.000
5.000,3.000,249.023,189.258,189.258,7.000
5.000,3.000,249.023,189.258,189.258,7.000
5.000,3.000,249.023,189.258,189.258,7.000
16.000,15.000,249.023,189.258,189.258,7.000
19.000,18.000,249.023,189.258,189.258,7.000
18.000,15.000,249.023,189.258,189.258,7.000
18.000,18.000,249.023,189.258,189.258,7.000
4.000,3.000,249.023,189.258,189.258,7.000
5.000,5.000,249.023,189.258,189.258,7.000
18.000,1.000,249.023,189.258,189.258,7.000
4.000,5.000,249.023,189.258,189.258,7.000
5.000,5.000,249.023,189.258,189.258,7.000
16.000,14.000,249.023,189.258,189.258,7.000
19.000,15.000,249.023,189.258,189.258,7.000
10.000,18.000,249.023,189.258,189.258,7.000
18.000,15.000,249.023,189.258,189.258,7.000
4.000,4.000,249.023,189.258,189.258,7.000
17.000,14.000,249.023,189.258,189.258,7.000
0.000,8.000,249.023,189.258,189.258,7.000
4.000,5.000,249.023,189.258,189.258,7.000
18.000,15.000,249.023,189.258,189.258,7.000
4.000,3.000,249.023,189.258,189.258,7.000
15.000,16.000,249.023,189.258,189.258,7.000
19.000,19.000,249.023,189.258,189.258,7.000
15.000,13.000,249.023,189.258,189.258,7.000
16.000,15.000,249.023,189.258,189.258,7.000
6.000,5.000,249.023,189.258,189.258,7.000
4.000,3.000,249.023,189.258,189.258,7.000
15.000,14.000,249.023,189.258,189.258,7.000
3.000,5.000,249.023,189.258,189.258,7.000
5.000,4.000,249.023,189.258,189.258,7.000
4.000,3.000,249.023,189.258,189.258,7.000
4.000,5.000,249.023,189.258,189.258,7.000
17.000,16.000,249.023,189.258,189.258,7.000
18.000,15.000,249.023,189.258,189.258,7.000
17.000,16.000,249.023,189.258,189.258,7.000
5.000,5.000,249.023,189.258,189.258,7.000
17.000,15.000,249.023,189.258,189.258,7.000
14.000,16.000,249.023,189.258,189.258,7.000
14.000,14.000,249.023,189.258,189.258,7.000
6.000,4.000,249.023,189.258,189.258,7.000
6.000,5.000,249.023,189.258,189.258,7.000
19.000,19.000,249.023,189.258,189.258,7.000
6.000,5.000,249.023,189.258,189.258,7.000
17.000,16.000,249.023,189.258,189.258,7.000
18.000,14.000,249.023,189.258,189.258,7.000
19.000,17.000,249.023,189.258,189.258,7.000
18.000,1.000,249.023,189.258,189.258,7.000
17.000,16.000,249.023,189.258,189.258,7.000
5.000,5.000,249.023,189.258,189.258,7.000
0.000,8.000,249.023,189.258,189.258,7.000
5.000,6.000,249.023,189.258,189.258,7.000
16.000,14.000,249.023,189.258,189.258,7.000
3.000,4.000,249.023,189.258,189.258,7.000
7.000,5.000,249.023,189.258,189.258,7.000
17.000,14.000,249.023,189.258,189.258,7.000
16.000,17.000,249.023,189.258,189.258,7.000
4.000,2.000,249.023,189.258,189.258,7.000
17.000,14.000,249.023,189.258,189.258,7.000
18.000,15.000,249.023,189.258,189.258,7.000
15.000,13.000,249.023,189.258,189.258,7.000
15.000,13.000,249.023,189.258,189.258,7.000
9.000,13.000,69.727,239.062,239.062,8.000
18.000,13.000,69.727,239.062,239.062,8.000
1.000,4.000,69.727,239.062,239.062,8.000
1.000,0.000,69.727,239.062,239.062,8.000
7.000,17.000,69.727,239.062,239.062,8.000
13.000,13.000,69.727,239.062,239.062,8.000
16.000,12.000,69.727,239.062,239.062,8.000
7.000,19.000,69.727,239.062,239.062,8.000
18.000,18.000,69.727,239.062,239.062,8.000
16.000,0.000,69.727,239.062,239.062,8.000
9.000,13.000,69.727,239.062,239.062,8.000
17.000,13.000,69.727,239.062,239.062,8.000
18.000,18.000,69.727,239.062,239.062,8.000
16.000,12.000,69.727,239.062,239.062,8.000
12.000,4.000,69.727,239.062,239.062,8.000
9.000,13.000,69.727,239.062,239.062,8.000
18.000,18.000,69.727,239.062,239.062,8.000
9.000,13.000,69.727,239.062,239.062,8.000
11.000,0.000,69.727,239.062,239.062,8.000
8.000,0.000,69.727,239.062,239.062,8.000
16.000,12.000,69.727,239.062,239.062,8.000
18.000,18.000,69.727,239.062,239.062,8.000
15.000,13.000,69.727,239.062,239.062,8.000
17.000,13.000,69.727,239.062,239.062,8.000
19.000,13.000,69.727,239.062,239.062,8.000
18.000,18.000,69.727,239.062,239.062,8.000
17.000,13.000,69.727,239.062,239.062,8.000
17.000,0.000,69.727,239.062,239.062,8.000
18.000,13.000,69.727,239.062,239.062,8.000
14.000,12.000,69.727,239.062,239.062,8.000
8.000,18.000,69.727,239.062,239.062,8.000
17.000,13.000,69.727,239.062,239.062,8.000
17.000,13.000,69.727,239.062,239.062,8.000
11.000,4.000,69.727,239.062,239.062,8.000
9.000,13.000,69.727,239.062,239.062,8.000
9.000,13.000,69.727,239.062,239.062,8.000
10.000,14.000,69.727,239.062,239.062,8.000
19.000,19.000,69.727,239.062,239.062,8.000
18.000,12.000,69.727,239.062,239.062,8.000
17.000,12.000,69.727,239.062,239.062,8.000
8.000,14.000,69.727,239.062,239.062,8.000
16.000,12.000,69.727,239.062,239.062,8.000
18.000,14.000,69.727,239.062,239.062,8.000
19.000,19.000,69.727,239.062,239.062,8.000
19.000,19.000,69.727,239.062,239.062,8.000
18.000,18.000,69.727,239.062,239.062,8.000
9.000,13.000,69.727,239.062,239.062,8.000
19.000,18.000,69.727,239.062,239.062,8.000
15.000,13.000,69.727,239.062,239.062,8.000
8.000,3.000,69.727,239.062,239.062,8.000
19.000,18.000,69.727,239.062,239.062,8.000
17.000,12.000,69.727,239.062,239.062,8.000
1.000,3.000,69.727,239.062,239.062,8.000
16.000,12.000,69.727,239.062,239.062,8.000
18.000,13.000,69.727,239.062,239.062,8.000
16.000,12.000,69.727,239.062,239.062,8.000
19.000,19.000,69.727,239.062,239.062,8.000
17.000,13.000,69.727,239.062,239.062,8.000
19.000,17.000,69.727,239.062,239.062,8.000
10.000,12.000,69.727,239.062,239.062,8.000
9.000,12.000,69.727,239.062,239.062,8.000
18.000,17.000,69.727,239.062,239.062,8.000
8.000,18.000,69.727,239.062,239.062,8.000
19.000,13.000,69.727,239.062,239.062,8.000
10.000,1.000,69.727,239.062,239.062,8.000
16.000,0.000,69.727,239.062,239.062,8.000
14.000,12.000,69.727,239.062,239.062,8.000
18.000,17.000,69.727,239.062,239.062,8.000
9.000,12.000,69.727,239.062,239.062,8.000
15.000,0.000,69.727,239.062,239.062,8.000
19.000,19.000,69.727,239.062,239.062,8.000
15.000,12.000,69.727,239.062,239.062,8.000
18.000,18.000,69.727,239.062,239.062,8.000
8.000,14.000,69.727,239.062,239.062,8.000
18.000,13.000,69.727,239.062,239.062,8.000
10.000,13.000,69.727,239.062,239.062,8.000
12.000,18.000,69.727,239.062,239.062,8.000
10.000,12.000,69.727,239.062,239.062,8.000
19.000,13.000,69.727,239.062,239.062,8.000
18.000,18.000,69.727,239.062,239.062,8.000
18.000,14.000,69.727,239.062,239.062,8.000
18.000,18.000,69.727,239.062,239.062,8.000
9.000,12.000,69.727,239.062,239.062,8.000
18.000,12.000,69.727,239.062,239.062,8.000
8.000,14.000,69.727,239.062,239.062,8.000
18.000,18.000,69.727,239.062,239.062,8.000
8.000,14.000,69.727,239.062,239.062,8.000
7.000,18.000,69.727,239.062,239.062,8.000
8.000,18.000,69.727,239.062,239.062,8.000
8.000,2.000,69.727,239.062,239.062,8.000
10.000,14.000,69.727,239.062,239.062,8.000
15.000,0.000,69.727,239.062,239.062,8.000
8.000,14.000,69.727,239.062,239.062,8.000
19.000,13.000,69.727,239.062,239.062,8.000
8.000,14.000,69.727,239.062,239.062,8.000
19.000,13.000,69.727,239.062,239.062,8.000
17.000,13.000,69.727,239.062,239.062,8.000
17.000,13.000,69.727,239.062,239.062,8.000
19.000,19.000,69.727,239.062,239.062,8.000
7.000,18.000,69.727,239.062,239.062,8.000
7.000,4.000,169.335,109.571,39.844,9.000
17.000,15.000,169.335,109.571,39.844,9.000
18.000,18.000,169.335,109.571,39.844,9.000
6.000,6.000,169.335,109.571,39.844,9.000
19.000,16.000,169.335,109.571,39.844,9.000
18.000,4.000,169.335,109.571,39.844,9.000
2.000,5.000,169.335,109.571,39.844,9.000
18.000,4.000,169.335,109.571,39.844,9.000
16.000,15.000,169.335,109.571,39.844,9.000
6.000,8.000,169.335,109.571,39.844,9.000
6.000,7.000,169.335,109.571,39.844,9.000
16.000,16.000,169.335,109.571,39.844,9.000
17.000,15.000,169.335,109.571,39.844,9.000
17.000,18.000,169.335,109.571,39.844,9.000
19.000,16.000,169.335,109.571,39.844,9.000
19.000,16.000,169.335,109.571,39.844,9.000
18.000,16.000,169.335,109.571,39.844,9.000
18.000,16.000,169.335,109.571,39.844,9.000
3.000,6.000,169.335,109.571,39.844,9.000
6.000,6.000,169.335,109.571,39.844,9.000
2.000,6.000,169.335,109.571,39.844,9.000
19.000,15.000,169.335,109.571,39.844,9.000
6.000,6.000,169.335,109.571,39.844,9.000
18.000,16.000,169.335,109.571,39.844,9.000
6.000,6.000,169.335,109.571,39.844,9.000
18.000,16.000,169.335,109.571,39.844,9.000
16.000,14.000,169.335,109.571,39.844,9.000
18.000,17.000,169.335,109.571,39.844,9.000
16.000,0.000,169.335,109.571,39.844,9.000
18.000,16.000,169.335,109.571,39.844,9.000
5.000,8.000,169.335,109.571,39.844,9.000
17.000,16.000,169.335,109.571,39.844,9.000
2.000,6.000,169.335,109.571,39.844,9.000
2.000,5.000,169.335,109.571,39.844,9.000
16.000,14.000,169.335,109.571,39.844,9.000
6.000,7.000,169.335,109.571,39.844,9.000
17.000,0.000,169.335,109.571,39.844,9.000
3.000,5.000,169.335,109.571,39.844,9.000
18.000,17.000,169.335,109.571,39.844,9.000
16.000,14.000,169.335,109.571,39.844,9.000
7.000,4.000,169.335,109.571,39.844,9.000
5.000,10.000,169.335,109.571,39.844,9.000
19.000,15.000,169.335,109.571,39.844,9.000
19.000,15.000,169.335,109.571,39.844,9.000
19.000,14.000,169.335,109.571,39.844,9.000
19.000,15.000,169.335,109.571,39.844,9.000
4.000,11.000,169.335,109.571,39.844,9.000
16.000,0.000,169.335,109.571,39.844,9.000
5.000,16.000,169.335,109.571,39.844,9.000
6.000,6.000,169.335,109.571,39.844,9.000
18.000,15.000,169.335,109.571,39.844,9.000
6.000,6.000,169.335,109.571,39.844,9.000
6.000,6.000,169.335,109.571,39.844,9.000
6.000,6.000,169.335,109.571,39.844,9.000
19.000,16.000,169.335,109.571,39.844,9.000
5.000,11.000,169.335,109.571,39.844,9.000
19.000,16.000,169.335,109.571,39.844,9.000
17.000,15.000,169.335,109.571,39.844,9.000
15.000,16.000,169.335,109.571,39.844,9.000
7.000,4.000,169.335,109.571,39.844,9.000
19.000,17.000,169.335,109.571,39.844,9.000
6.000,6.000,169.335,109.571,39.844,9.000
18.000,4.000,169.335,109.571,39.844,9.000
19.000,17.000,169.335,109.571,39.844,9.000
5.000,10.000,169.335,109.571,39.844,9.000
19.000,17.000,169.335,109.571,39.844,9.000
19.000,14.000,169.335,109.571,39.844,9.000
5.000,10.000,169.335,109.571,39.844,9.000
2.000,5.000,169.335,109.571,39.844,9.000
18.000,16.000,169.335,109.571,39.844,9.000
19.000,17.000,169.335,109.571,39.844,9.000
1.000,8.000,169.335,109.571,39.844,9.000
16.000,14.000,169.335,109.571,39.844,9.000
5.000,11.000,169.335,109.571,39.844,9.000
16.000,15.000,169.335,109.571,39.844,9.000
16.000,14.000,169.335,109.571,39.844,9.000
5.000,11.000,169.335,109.571,39.844,9.000
3.000,7.000,169.335,109.571,39.844,9.000
5.000,10.000,169.335,109.571,39.844,9.000
6.000,6.000,169.335,109.571,39.844,9.000
17.000,15.000,169.335,109.571,39.844,9.000
0.000,7.000,169.335,109.571,39.844,9.000
18.000,16.000,169.335,109.571,39.844,9.000
19.000,17.000,169.335,109.571,39.844,9.000
19.000,19.000,169.335,109.571,39.844,9.000
5.000,7.000,169.335,109.571,39.844,9.000
16.000,13.000,169.335,109.571,39.844,9.000
16.000,15.000,169.335,109.571,39.844,9.000
19.000,15.000,169.335,109.571,39.844,9.000
17.000,16.000,169.335,109.571,39.844,9.000
6.000,10.000,169.335,109.571,39.844,9.000
6.000,6.000,169.335,109.571,39.844,9.000
17.000,16.000,169.335,109.571,39.844,9.000
2.000,5.000,169.335,109.571,39.844,9.000
16.000,16.000,169.335,109.571,39.844,9.000
19.000,16.000,169.335,109.571,39.844,9.000
5.000,6.000,169.335,109.571,39.844,9.000
19.000,14.000,169.335,109.571,39.844,9.000
17.000,17.000,169.335,109.571,39.844,9.000
18.000,4.000,169.335,109.571,39.844,9.000
13.000,14.000,169.335,109.571,39.844,0.000
15.000,7.000,169.335,109.571,39.844,0.000
7.000,11.000,169.335,109.571,39.844,0.000
9.000,18.000,169.335,109.571,39.844,0.000
14.000,14.000,169.335,109.571,39.844,0.000
12.000,17.000,169.335,109.571,39.844,0.000
14.000,10.000,169.335,109.571,39.844,0.000
9.000,17.000,169.335,109.571,39.844,0.000
16.000,12.000,169.335,109.571,39.844,0.000
6.000,19.000,169.335,109.571,39.844,0.000
0.000,18.000,0.000,0.000,0.000,1.000
19.000,0.000,0.000,0.000,0.000,1.000
19.000,0.000,0.000,0.000,0.000,1.000
3.000,19.000,0.000,0.000,0.000,1.000
0.000,16.000,0.000,0.000,0.000,1.000
19.000,0.000,0.000,0.000,0.000,1.000
0.000,18.000,0.000,0.000,0.000,1.000
19.000,0.000,0.000,0.000,0.000,1.000
19.000,0.000,0.000,0.000,0.000,1.000
19.000,0.000,0.000,0.000,0.000,1.000
12.000,0.000,244.043,129.492,47.812,2.000
0.000,0.000,244.043,129.492,47.812,2.000
12.000,3.000,244.043,129.492,47.812,2.000
2.000,3.000,244.043,129.492,47.812,2.000
2.000,3.000,244.043,129.492,47.812,2.000
5.000,4.000,244.043,129.492,47.812,2.000
9.000,18.000,244.043,129.492,47.812,2.000
16.000,6.000,244.043,129.492,47.812,2.000
17.000,0.000,244.043,129.492,47.812,2.000
7.000,2.000,244.043,129.492,47.812,2.000
12.000,4.000,127.500,127.500,127.500,3.000
5.000,0.000,127.500,127.500,127.500,3.000
0.000,1.000,127.500,127.500,127.500,3.000
10.000,0.000,127.500,127.500,127.500,3.000
11.000,0.000,127.500,127.500,127.500,3.000
1.000,0.000,127.500,127.500,127.500,3.000
8.000,0.000,127.500,127.500,127.500,3.000
0.000,4.000,127.500,127.500,127.500,3.000
1.000,2.000,127.500,127.500,127.500,3.000
7.000,0.000,127.500,127.500,127.500,3.000
2.000,10.000,229.102,24.903,74.707,4.000
1.000,14.000,229.102,24.903,74.707,4.000
0.000,10.000,229.102,24.903,74.707,4.000
2.000,9.000,229.102,24.903,74.707,4.000
0.000,11.000,229.102,24.903,74.707,4.000
5.000,8.000,229.102,24.903,74.707,4.000
19.000,5.000,229.102,24.903,74.707,4.000
0.000,15.000,229.102,24.903,74.707,4.000
2.000,12.000,229.102,24.903,74.707,4.000
3.000,12.000,229.102,24.903,74.707,4.000
6.000,12.000,59.767,179.298,74.707,5.000
5.000,13.000,59.767,179.298,74.707,5.000
5.000,14.000,59.767,179.298,74.707,5.000
5.000,12.000,59.767,179.298,74.707,5.000
6.000,15.000,59.767,179.298,74.707,5.000
6.000,14.000,59.767,179.298,74.707,5.000
11.000,3.000,59.767,179.298,74.707,5.000
7.000,14.000,59.767,179.298,74.707,5.000
13.000,3.000,59.767,179.298,74.707,5.000
4.000,12.000,59.767,179.298,74.707,5.000
7.000,17.000,0.000,129.492,199.219,6.000
19.000,8.000,0.000,129.492,199.219,6.000
0.000,12.000,0.000,129.492,199.219,6.000
5.000,18.000,0.000,129.492,199.219,6.000
19.000,8.000,0.000,129.492,199.219,6.000
7.000,17.000,0.000,129.492,199.219,6.000
17.000,3.000,0.000,129.492,199.219,6.000
6.000,18.000,0.000,129.492,199.219,6.000
7.000,17.000,0.000,129.492,199.219,6.000
6.000,18.000,0.000,129.492,199.219,6.000
0.000,7.000,254.003,224.122,24.903,7.000
7.000,6.000,254.003,224.122,24.903,7.000
5.000,3.000,254.003,224.122,24.903,7.000
1.000,7.000,254.003,224.122,24.903,7.000
4.000,3.000,254.003,224.122,24.903,7.000
7.000,6.000,254.003,224.122,24.903,7.000
0.000,8.000,254.003,224.122,24.903,7.000
19.000,1.000,254.003,224.122,24.903,7.000
5.000,8.000,254.003,224.122,24.903,7.000
0.000,18.000,254.003,224.122,24.903,7.000
0.000,18.000,249.023,189.258,189.258,8.000
1.000,19.000,249.023,189.258,189.258,8.000
0.000,14.000,249.023,189.258,189.258,8.000
4.000,3.000,249.023,189.258,189.258,8.000
0.000,8.000,249.023,189.258,189.258,8.000
11.000,1.000,249.023,189.258,189.258,8.000
2.000,6.000,249.023,189.258,189.258,8.000
0.000,17.000,249.023,189.258,189.258,8.000
8.000,0.000,249.023,189.258,189.258,8.000
1.000,19.000,249.023,189.258,189.258,8.000
0.000,8.000,69.727,239.062,239.062,9.000
1.000,18.000,69.727,239.062,239.062,9.000
0.000,8.000,69.727,239.062,239.062,9.000
0.000,7.000,69.727,239.062,239.062,9.000
0.000,7.000,69.727,239.062,239.062,9.000
4.000,9.000,69.727,239.062,239.062,9.000
0.000,8.000,69.727,239.062,239.062,9.000
19.000,1.000,69.727,239.062,239.062,9.000
0.000,17.000,69.727,239.062,239.062,9.000
0.000,8.000,69.727,239.062,239.062,9.000
